,year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand,model
124,2018,550000,20000,0,1,0,0,0,13
125,2007,100000,110000,1,1,0,3,0,7
126,2012,100000,50000,0,1,0,1,4,55
127,2012,500000,100000,1,1,0,0,6,82
128,2016,800000,70000,1,1,0,1,0,11
129,2016,840000,70000,1,1,0,1,1,25
130,2016,490000,50000,0,1,0,0,3,41
131,2010,125000,81000,1,1,0,1,4,54
132,2012,400000,120000,1,1,0,2,5,74
133,2015,1000000,3600,1,0,0,0,5,76
134,2015,530000,14272,0,0,0,0,13,136
135,2017,840000,49213,1,0,0,0,13,135
136,2015,229999,40000,0,1,0,0,1,27
137,1998,40000,40000,0,1,0,3,0,1
138,2012,130000,80000,0,1,0,0,5,77
139,2015,200000,70000,0,1,0,0,1,32
140,2011,120000,70000,1,1,0,0,4,54
141,2003,75000,57000,0,1,0,0,1,29
142,2016,250000,120000,1,1,0,0,4,56
143,2005,100000,30000,0,1,0,0,0,1
144,2013,280000,3240,0,1,0,1,1,32
145,2015,540000,5000,0,1,0,0,1,31
146,2018,700000,10000,0,1,0,0,1,31
147,2015,525000,100000,1,1,0,0,0,5
148,2016,430000,80000,1,1,0,0,1,31
149,2002,65000,70000,0,1,0,0,1,29
150,2018,800000,35000,1,1,0,0,0,6
151,2007,75000,114000,0,1,0,1,1,29
152,2008,210000,53772,0,1,0,0,1,33
153,2012,195000,140000,1,1,0,1,12,123
154,2015,400000,120000,1,1,0,0,5,74
155,2012,170000,60000,0,1,0,0,1,32
156,2016,225000,25000,0,1,0,0,15,152
157,2014,210000,90000,3,1,0,0,0,2
158,2020,240000,120000,0,1,0,0,0,2
159,2015,300000,175000,1,1,0,0,5,73
160,2011,99000,100000,0,1,0,2,5,77
161,2014,620000,36000,0,1,0,0,3,42
162,2013,500000,30000,1,1,0,0,3,41
163,2010,2550000,40000,0,1,1,1,7,89
164,2013,260000,70000,0,1,0,1,3,44
165,2017,550000,60000,0,1,0,0,0,7
166,2011,150000,155500,1,1,0,0,4,52
167,2011,350000,50000,0,1,1,1,1,27
168,2016,320000,40000,0,1,0,0,5,75
169,2015,400000,100000,1,1,0,2,0,7
170,2012,175000,80000,0,1,0,2,0,3
171,2011,120000,90000,0,1,0,1,5,75
172,2013,320000,90000,1,1,0,1,15,151
173,2006,70000,110000,0,1,0,2,1,29
174,2019,810000,15000,0,1,0,0,0,7
175,2007,95000,100000,0,1,0,1,0,1
176,2020,282000,40000,2,1,0,0,0,3
177,2004,80000,60000,0,1,0,1,0,1
178,2013,72000,25000,0,1,0,0,4,55
179,2016,600000,25000,0,1,0,0,1,31
180,2015,640000,23000,0,1,0,0,10,107
181,2018,380000,22155,0,1,0,0,0,3
182,2018,650000,70000,0,1,0,0,0,5
183,2009,150000,60000,0,1,0,1,0,3
184,2009,280000,110000,0,1,0,1,1,31
185,2018,430000,30000,0,1,0,0,4,57
186,2019,800000,15000,1,1,0,0,12,121
187,2003,75000,100000,1,1,0,1,0,12
188,2016,650000,70000,1,1,1,0,17,167
189,2017,390000,24000,0,1,0,0,0,8
190,2005,100000,120000,0,1,0,1,3,42
191,2013,1500000,35000,1,1,1,0,8,90
192,2007,175000,78380,0,1,0,0,0,10
193,2012,434999,110000,1,1,0,1,15,151
194,2010,170000,90000,1,1,0,2,13,136
195,2011,190000,90000,1,1,0,2,13,136
196,2009,250000,150000,1,1,0,2,0,7
197,2009,229999,230000,1,1,0,2,12,122
198,2006,140000,70000,0,1,0,2,0,14
199,2017,600000,80362,1,1,0,0,0,7
200,2012,280000,110000,0,1,0,2,1,31
201,2012,150000,60000,1,1,0,0,5,75
202,2015,650000,50000,1,1,1,0,5,76
203,2014,210000,40000,0,1,0,1,14,146
204,2017,2900000,40000,1,1,1,0,18,116
205,2013,425000,20000,1,0,0,0,5,73
206,2014,265000,55000,0,0,0,0,1,32
207,2018,890000,1136,0,0,0,0,16,161
208,2013,365000,55000,0,0,0,0,15,153
209,2014,350000,43000,0,0,0,0,13,136
210,2016,685000,60000,1,1,0,0,0,5
211,2018,940000,2650,1,0,0,0,10,107
212,2017,1000000,40000,1,1,0,0,12,120
213,2019,1150000,15000,0,0,0,0,12,124
214,2016,450000,115962,1,1,0,1,0,11
215,2015,590000,65000,1,0,0,0,14,145
216,2017,800000,40000,1,1,0,0,0,15
217,2012,385000,58000,1,0,0,0,1,31
218,2013,2000000,15000,1,1,1,0,8,90
219,2012,235000,54000,0,0,0,0,1,32
220,2017,640000,56000,1,0,0,0,17,168
221,2006,52000,120000,0,1,0,2,0,3
222,2009,80000,90000,3,1,0,1,0,9
223,2012,140000,70000,0,1,0,1,0,3
224,2008,120000,90000,0,1,0,1,1,23
225,2008,89999,213000,1,1,0,0,12,125
226,2012,180000,120000,1,1,0,0,5,78
227,2017,1500000,20000,1,1,0,0,12,118
228,2017,700000,10000,0,1,0,0,1,31
229,2012,285000,80000,1,1,0,1,0,10
230,2015,390000,90000,0,1,0,0,1,30
231,2008,125000,80000,0,1,0,0,0,3
232,2008,225000,60000,0,1,0,1,0,10
233,2011,175000,139000,0,1,0,1,1,27
234,2011,1075000,160000,1,1,0,1,6,82
235,2014,300000,150000,1,1,0,0,3,45
236,2010,700000,163000,1,1,0,3,6,82
237,2009,90000,120000,1,0,0,0,4,54
238,2011,120000,120000,1,1,0,1,4,54
239,2012,220000,100000,1,1,0,1,5,75
240,2015,300000,140000,1,0,0,0,4,58
241,2010,180000,87000,1,0,0,1,10,108
242,2013,170000,70000,0,1,0,0,0,1
243,2015,300000,50000,0,1,0,1,13,136
244,2014,1050000,70000,1,1,0,0,6,82
245,2014,300000,150000,1,1,0,0,3,45
246,2018,465000,25000,1,1,0,0,1,30
247,2011,130000,80000,1,1,0,1,5,75
248,2018,434999,10000,0,1,0,0,2,40
249,2018,500000,32000,0,1,0,0,1,30
250,2018,200000,10000,0,1,0,0,0,9
251,2017,625000,52000,0,0,0,0,0,13
252,2006,110000,120000,1,1,0,2,13,137
253,2019,800000,11240,0,1,0,0,1,34
254,2017,490000,66000,1,0,0,0,1,30
255,2017,880000,64000,1,0,0,0,0,11
256,2013,290000,49000,0,1,0,0,1,29
257,2006,115999,100000,1,1,0,1,4,59
258,2018,360000,26500,0,1,0,0,15,152
259,2002,65000,100000,0,1,0,1,0,1
260,2017,685000,72000,1,0,0,0,0,6
261,2009,300000,50000,0,1,0,0,3,46
262,2017,680000,44000,1,0,0,0,1,31
263,2017,1000000,60000,1,1,0,1,0,11
264,2002,100000,120000,1,1,0,0,4,59
265,2010,160000,130000,1,1,0,0,12,122
266,2017,450000,70000,1,1,0,0,0,7
267,2014,600000,20000,0,1,0,0,0,11
268,2009,180000,60000,1,1,0,1,1,31
269,2007,100000,195000,0,1,0,0,0,3
270,2010,120000,90000,0,1,0,1,0,3
271,2006,130000,80000,0,1,0,2,1,33
272,2011,160000,155000,0,1,0,0,0,2
273,2019,860000,35000,1,1,0,0,12,121
274,2018,650000,20000,0,1,0,1,1,31
275,2010,100000,80000,0,1,0,1,0,2
276,2017,282000,20000,0,1,0,0,0,3
277,2009,300000,50000,0,1,0,0,1,31
278,2010,270000,110000,0,1,0,1,1,31
279,2013,550000,29000,1,1,0,0,1,23
280,2013,450000,120000,1,1,0,0,12,122
281,2011,430000,70000,1,1,0,1,12,121
282,2013,350000,40000,0,1,0,0,0,11
283,2017,350000,20000,0,1,0,0,3,44
284,2013,229999,50000,0,1,0,1,6,83
285,2013,110000,50000,0,1,0,0,0,3
286,2012,395000,49000,0,1,0,1,0,7
287,2011,650000,70000,1,1,1,1,12,118
288,2011,350000,90000,1,1,0,1,12,121
289,2020,1400000,25000,1,0,0,0,12,120
290,2018,360000,4000,0,1,0,0,4,60
291,2018,1300000,10000,1,1,0,0,12,126
292,2015,800000,15000,1,1,0,0,15,151
293,2018,229999,30000,0,1,0,0,1,32
294,2014,315000,41000,0,0,0,0,0,2
295,2012,125000,28000,0,1,0,0,5,77
296,2019,700000,16000,0,1,0,0,0,13
297,2015,160000,70000,0,1,0,0,1,32
298,2017,530000,10832,0,0,0,0,13,136
299,2018,624000,14681,1,0,0,0,13,136
300,2009,250000,50000,0,1,0,0,1,27
301,2016,585000,51000,1,0,0,0,12,121
302,2015,500000,25000,0,1,0,0,1,23
303,2014,350000,30000,0,1,0,0,5,72
304,2014,495000,80000,1,0,0,0,3,42
305,2017,500000,50000,0,1,0,0,1,30
306,2015,430000,200000,1,1,0,0,12,121
307,2013,345000,44000,0,0,0,0,1,30
308,2015,500000,10000,0,1,0,0,0,13
309,2019,425000,19600,0,1,0,0,4,60
310,2005,80000,40000,0,1,0,1,0,2
311,2011,106000,50000,1,1,0,0,5,75
312,2009,180000,46730,0,1,0,0,0,16
313,2015,250000,40000,0,1,0,1,2,40
314,2011,350000,80000,1,1,0,0,10,109
315,2002,60000,80000,0,1,0,1,0,12
316,2018,900000,24000,1,1,0,0,1,23
317,2017,700000,21170,1,0,0,0,13,138
318,2013,2000000,167223,1,0,1,0,18,113
319,2017,1000000,40000,1,1,0,0,0,11
320,2011,1375000,60000,1,1,1,0,18,114
321,2016,1800000,141440,1,0,0,0,6,82
322,2007,160000,120000,1,1,0,2,5,74
323,2012,525000,140000,0,1,1,0,20,175
324,2012,850000,212814,1,0,0,0,12,120
325,2019,800000,30000,1,1,0,0,0,13
326,2017,700000,88635,1,0,0,0,13,136
327,2018,800000,25000,1,1,0,0,0,7
328,2017,575000,20000,0,1,0,1,1,31
329,2012,350000,110000,1,1,0,1,15,151
330,2008,250000,120000,1,1,0,2,0,7
331,2011,600000,149674,1,0,0,1,13,139
332,2007,370000,100000,1,1,0,2,12,118
333,2006,80000,120000,0,1,0,2,0,13
334,2003,50000,120000,1,1,0,1,4,54
335,2018,900000,25000,1,1,0,0,1,23
336,2014,300000,35000,0,1,0,1,0,2
337,2002,125000,40000,0,1,0,0,4,54
338,2015,490000,60000,1,1,0,1,0,7
339,2012,300000,50000,1,1,0,1,6,83
340,2013,55000,25000,0,1,0,3,4,55
341,2016,350000,25000,0,1,0,0,1,30
342,2019,755000,8000,1,1,0,0,1,30
343,2017,720000,60000,1,1,0,0,0,11
344,2006,229999,200000,1,1,0,2,12,121
345,2018,1100000,20000,1,1,0,0,12,118
346,2013,400000,100000,0,1,0,0,17,169
347,2015,350000,70000,1,1,0,1,1,24
348,2012,159000,68000,1,0,0,0,5,75
349,2017,550000,38000,0,0,0,0,0,7
350,2013,335000,80000,1,0,0,0,0,17
351,2014,185000,72000,2,0,0,0,4,52
352,2012,229999,75000,2,0,0,0,0,8
353,2014,225000,43000,0,0,0,0,0,18
354,2007,250000,120000,0,1,0,1,0,7
355,2015,400000,100000,1,1,0,0,4,58
356,2014,470000,163000,1,1,0,0,0,7
357,2018,300000,25000,0,1,1,0,0,3
358,2011,145000,25000,0,1,0,0,0,3
359,2007,100000,90000,0,1,0,1,0,10
360,2014,500000,70000,1,1,0,1,12,118
361,2010,130000,98000,2,1,0,1,1,29
362,2010,240000,81925,1,1,0,0,5,76
363,2013,150000,80000,1,1,0,1,13,136
364,2017,270000,40000,0,1,0,0,15,152
365,2014,400000,90000,1,1,0,0,0,7
366,2012,200000,46000,0,1,0,0,1,32
367,2012,550000,80000,1,1,0,0,12,120
368,2018,325000,35000,0,1,0,0,15,152
369,2017,860000,82080,1,1,1,0,10,107
370,2012,600000,200000,1,1,0,0,12,120
371,2009,125000,70000,0,1,0,0,5,77
372,2000,60000,40000,0,1,0,2,0,1
373,2010,300000,120000,1,1,0,2,5,74
374,2007,190000,60000,0,1,0,2,13,137
375,2013,400000,110000,1,1,0,0,0,11
376,2011,260000,97000,1,1,0,1,4,61
377,2017,400000,30000,0,1,0,0,0,7
378,2010,250000,40000,0,1,0,0,1,31
379,2019,600000,10000,0,1,0,0,1,30
380,2010,175000,52047,0,1,0,0,0,12
381,2011,450000,200000,1,1,0,2,6,82
382,2019,350000,15000,0,1,1,1,4,60
383,2018,800000,50000,1,1,0,0,0,6
384,2011,250000,70000,0,1,0,1,0,7
385,2019,600000,10000,0,1,0,0,0,7
386,2017,600000,90000,1,1,0,0,0,7
387,2016,130000,40000,0,1,0,0,0,3
388,2006,90000,62009,0,1,0,1,0,2
389,2017,595000,33100,0,1,0,1,1,31
390,2014,190000,40000,0,1,0,1,1,32
391,1999,50000,120000,0,1,0,1,1,29
392,2007,95000,80000,0,1,0,0,0,2
393,2016,1000000,70000,1,1,0,0,4,62
394,2006,220000,220000,0,1,0,1,12,118
395,2010,400000,50000,1,1,0,0,12,121
396,2015,315000,45000,0,1,0,1,2,40
397,2014,1000000,110000,1,1,0,0,6,84
398,2014,500000,49000,1,1,0,0,13,140
399,2018,1600000,35000,1,1,1,0,12,120
400,2017,500000,160000,1,1,0,0,12,127
401,2007,70000,180000,0,1,0,2,0,3
402,2007,105000,60000,0,1,0,1,0,1
403,2008,400000,110000,1,1,0,2,13,139
404,2004,80000,60000,0,1,0,2,0,2
405,2016,300000,30000,0,1,0,0,0,3
406,2017,409999,40000,1,1,0,0,12,128
407,2009,250000,70000,0,1,0,0,0,7
408,2010,250000,120000,1,1,0,1,4,63
409,2012,215000,80000,1,1,0,2,0,7
410,2015,1400000,120000,1,1,0,0,6,84
411,2018,475000,20000,0,1,0,0,3,44
412,2018,475000,22000,0,1,0,0,3,44
413,2008,75000,35000,0,1,0,1,5,77
414,2013,200000,120000,1,1,0,1,5,72
415,2019,575000,8000,0,1,0,0,4,60
416,2011,150000,40000,1,1,0,1,0,17
417,2018,850000,10000,1,1,0,0,0,6
418,2019,350000,30000,0,1,0,0,1,29
419,2011,550000,54000,1,1,0,1,13,139
420,2017,330000,80577,0,1,0,0,1,23
421,2017,1044999,25000,1,1,0,0,3,42
422,2011,300000,127500,1,1,0,1,1,23
423,2015,235000,40903,0,0,0,0,1,32
424,2011,120000,60000,0,1,0,2,13,136
425,2004,130000,46000,0,1,0,0,0,2
426,2004,275000,22288,1,0,0,1,13,139
427,2011,270000,180000,1,1,0,1,17,166
428,2015,500000,30000,1,1,0,1,17,169
429,2015,400000,61690,0,0,0,0,1,30
430,2015,600000,64484,0,0,0,0,1,31
431,2012,1350000,90000,1,1,1,1,9,98
432,2013,400000,75976,1,0,0,1,15,151
433,2011,220000,70000,1,1,0,1,13,136
434,2012,300000,85962,0,0,0,1,3,44
435,2018,250000,120000,0,1,0,0,0,9
436,2015,600000,120000,1,1,0,0,3,45
437,2012,285000,75000,0,1,1,1,3,44
438,2009,350000,57035,0,0,0,0,3,47
439,2011,170000,70000,1,1,0,2,12,121
440,2015,229999,45000,0,1,0,0,13,136
441,2013,500000,72104,1,0,0,1,12,120
442,2011,75000,15000,0,1,0,0,4,55
443,2016,600000,30000,0,1,0,0,1,31
444,2011,220000,80000,1,1,0,0,4,52
445,2009,150000,164000,1,1,0,1,4,54
446,2006,65000,124439,0,1,0,1,0,3
447,2006,120000,77000,0,1,0,1,0,12
448,2014,240000,90000,1,1,0,0,0,7
449,2017,390000,30000,0,1,0,0,15,152
450,2012,180000,50000,0,1,0,0,5,75
451,2012,320000,80000,1,1,0,1,0,7
452,2018,310000,5000,0,1,0,0,0,3
453,2018,420000,24000,0,1,1,0,0,2
454,2019,550000,10000,0,1,0,0,4,60
455,2016,550000,78000,1,1,0,2,0,11
456,2018,760000,50000,1,1,0,0,12,129
457,2001,43000,100000,0,1,0,1,0,1
458,2018,250000,20000,0,1,0,0,0,9
459,2019,500000,1250,0,1,0,0,1,29
460,2015,380000,17152,0,1,0,0,4,58
461,2019,1850000,5000,1,1,1,0,12,120
462,2012,350000,77000,1,1,0,0,17,169
463,2008,195000,90000,1,1,0,1,1,23
464,2011,225000,80000,0,1,0,1,5,75
465,2015,1125000,65000,1,1,0,0,6,82
466,2011,133000,80000,1,1,0,0,4,54
467,2013,200000,24005,0,1,0,0,1,32
468,2018,940000,20000,1,1,0,0,0,6
469,2014,400000,120000,1,1,0,0,15,151
470,2009,120000,120000,0,1,0,1,1,27
471,2015,625000,80000,1,1,0,0,0,7
472,2005,110000,80000,0,1,0,0,0,7
473,2012,490000,100000,1,1,0,0,15,151
474,2009,140000,120000,0,1,0,1,0,3
475,2011,175000,149000,1,1,0,1,13,136
476,2005,90000,65000,0,1,0,1,0,2
477,2009,275000,100000,1,1,0,1,0,7
478,2011,300000,65000,1,1,0,1,17,167
479,2018,270000,19000,0,1,0,1,2,40
480,2010,130000,80000,0,1,0,1,5,75
481,2015,275000,30000,0,1,0,0,0,3
482,2012,352000,109000,1,1,0,0,0,7
483,2012,180000,90000,3,1,0,0,1,32
484,2012,150000,90000,0,1,0,0,0,3
485,2011,300000,65000,1,1,0,1,17,167
486,2010,300000,110000,1,1,0,1,0,7
487,2007,225000,120000,1,1,0,0,12,121
488,2014,600000,44000,1,1,0,0,3,45
489,2015,500000,80000,0,1,0,0,0,11
490,2018,900000,5000,0,1,0,0,3,48
491,2016,600000,61000,0,1,0,0,1,31
492,2011,450000,100000,1,1,0,1,6,83
493,2009,270000,27633,0,1,0,0,1,27
494,2010,310000,100000,1,1,0,2,0,7
495,2012,250000,100000,3,1,0,0,1,29
496,2019,700000,12586,0,0,0,0,13,136
497,2018,650000,38083,1,0,0,0,16,160
498,2012,400000,55328,1,0,0,0,13,136
499,2012,425000,81632,1,0,0,0,13,136
500,2016,600000,155201,1,0,0,0,13,138
501,2013,600000,93283,1,0,0,0,13,135
502,2009,300000,217871,1,0,0,0,0,7
503,2012,450000,90165,1,0,0,0,13,137
504,2014,750000,101504,1,0,0,0,13,140
505,2010,325000,86017,1,0,0,1,13,136
506,2013,900000,85036,1,0,0,1,12,120
507,2006,180000,91086,0,0,0,1,13,141
508,2013,350000,160254,1,0,0,1,16,162
509,2013,600000,125531,1,0,0,1,13,135
510,2019,900000,60000,1,1,0,0,3,49
511,2006,350000,100000,1,1,0,0,10,110
512,2013,280000,90000,1,1,0,2,0,17
513,2009,225000,120000,1,1,0,1,12,122
514,2014,520000,82000,1,1,0,0,3,42
515,2016,509999,60000,1,1,0,0,12,118
516,2019,556000,24000,0,1,0,0,0,13
517,2014,225000,120000,1,1,0,0,4,52
518,2013,325000,65000,1,0,0,0,3,41
519,2013,365000,65000,1,0,0,0,0,7
520,2015,850000,84000,1,0,0,0,1,25
521,2013,350000,75000,1,0,0,0,6,83
522,2007,225000,50000,1,0,0,0,0,7
523,2011,135000,50000,0,1,0,0,0,3
524,2007,140000,49000,0,0,0,0,0,2
525,2016,665000,560000,1,0,0,0,0,10
526,2015,275000,14365,0,0,0,0,15,152
527,2017,2750000,41000,1,1,1,0,6,84
528,2013,484999,65000,1,0,0,0,1,23
529,2015,565000,65000,1,0,0,0,0,5
530,2013,425000,61083,1,0,0,0,0,7
531,2013,925000,75000,1,1,0,0,6,82
532,2012,565000,72000,1,0,0,0,12,118
533,2014,525000,65000,1,0,0,0,15,151
534,2017,1650000,55000,1,0,0,0,1,36
535,2015,295000,21000,0,0,0,1,1,32
536,2012,2050000,66363,0,0,1,1,7,88
537,2018,1475000,11700,0,0,1,0,1,25
538,2017,1100000,10000,0,1,1,0,1,23
539,2014,4400000,100000,1,1,1,1,8,93
540,2016,670000,7104,0,2,0,0,0,7
541,2015,750000,45974,1,2,0,0,0,15
542,2015,760000,55340,0,2,0,0,1,23
543,2017,850000,20000,0,0,1,1,17,169
544,2015,390000,61585,1,2,0,0,15,154
545,2016,450000,39415,0,2,1,1,0,4
546,2014,425000,29654,0,2,0,0,3,44
547,2016,770000,64672,1,2,0,0,0,13
548,2015,1150000,54634,1,2,1,1,1,25
549,2015,775000,66521,0,2,0,0,3,42
550,2018,1725000,23974,1,0,1,1,6,82
551,2016,2150000,43000,1,0,1,0,18,113
552,2013,450000,1000,1,0,0,1,15,151
553,2018,3800000,10000,1,0,1,0,8,94
554,2013,1580000,86000,1,0,1,0,9,102
555,2019,4950000,30000,1,0,1,0,18,117
556,2016,535000,52600,1,1,0,0,1,25
557,2012,225000,110000,0,1,0,1,0,10
558,2017,550000,19890,0,0,1,0,1,30
559,2016,670000,7104,0,2,0,0,0,7
560,2015,625000,11918,0,2,0,0,0,11
561,2017,520000,10510,0,0,1,0,1,30
562,2016,239000,41000,0,0,0,0,5,75
563,2017,2600000,47162,1,2,1,0,6,84
564,2015,750000,45974,1,2,0,0,0,15
565,2012,229999,49824,0,0,0,0,1,27
566,2013,1300000,58500,1,0,1,0,9,99
567,2005,80000,56580,0,0,0,0,1,29
568,2012,385000,52000,1,0,0,0,10,110
569,2015,760000,55340,0,2,0,0,1,23
570,2017,600000,46507,1,2,0,0,0,7
571,2013,450000,1000,1,0,0,1,15,151
572,2018,3800000,10000,1,0,1,0,8,94
573,2013,1580000,86000,1,0,1,0,9,102
574,2019,4950000,30000,1,0,1,0,18,117
575,2016,535000,52600,1,1,0,0,1,25
576,2012,225000,110000,0,1,0,1,0,10
577,2017,550000,19890,0,0,1,0,1,30
578,2016,670000,7104,0,2,0,0,0,7
579,2015,625000,11918,0,2,0,0,0,11
580,2017,520000,10510,0,0,1,0,1,30
581,2016,239000,41000,0,0,0,0,5,75
582,2017,2600000,47162,1,2,1,0,6,84
583,2015,750000,45974,1,2,0,0,0,15
584,2012,229999,49824,0,0,0,0,1,27
585,2013,1300000,58500,1,0,1,0,9,99
586,2005,80000,56580,0,0,0,0,1,29
587,2012,385000,52000,1,0,0,0,10,110
588,2015,760000,55340,0,2,0,0,1,23
589,2017,600000,46507,1,2,0,0,0,7
590,2013,450000,1000,1,0,0,1,15,151
591,2018,3800000,10000,1,0,1,0,8,94
592,2013,1580000,86000,1,0,1,0,9,102
593,2019,4950000,30000,1,0,1,0,18,117
594,2016,535000,52600,1,1,0,0,1,25
595,2012,225000,110000,0,1,0,1,0,10
596,2017,550000,19890,0,0,1,0,1,30
597,2016,670000,7104,0,2,0,0,0,7
598,2015,625000,11918,0,2,0,0,0,11
599,2017,520000,10510,0,0,1,0,1,30
600,2016,239000,41000,0,0,0,0,5,75
601,2017,2600000,47162,1,2,1,0,6,84
